Comparison (group1/group2),PTM.ModificationTitle,N_unique_proteins,N_unique_sites,N_rows,Mean_abs_log2FC,Median_abs_log2FC
LPS / Unstim,Myristoyl,357,517,517,1.447,0.524
LPS / Unstim,HexNAc (ST),338,534,534,1.441,0.507
LPS+Nigericin / Nigericin,Hex (K),278,414,414,1.441,0.501
P3C4+Nigericin / LPS+Nigericin,HexNAc (ST),337,521,521,1.428,0.496
LPS+Nigericin / Nigericin,Myristoyl,357,512,512,1.421,0.511
LPS+Nigericin / Nigericin,Acetyl (K),311,439,439,1.398,0.482
P3C4+Nigericin / Nigericin,Trimethyl (K),504,871,871,1.398,0.563
LPS+Nigericin / Nigericin,HexNAc (ST),340,536,536,1.385,0.44
P3C4+Nigericin / LPS,Sulfo (STY),716,1378,1378,1.367,0.705
Nigericin / Unstim,Sulfo (STY),724,1399,1399,1.348,0.739
P3C4 / Unstim,Phospho (STY),432,648,648,1.341,0.457
P3C4+Nigericin / Nigericin,Phospho (STY),407,615,615,1.327,0.482
P3C4+Nigericin / Unstim,Nitrosyl,681,946,946,1.324,0.846
P3C4+Nigericin / Nigericin,HexNAc (ST),332,522,522,1.31,0.5
P3C4+Nigericin / P3C4,Nitrosyl,678,944,944,1.307,0.869
LPS / Unstim,Phospho (STY),430,642,642,1.283,0.479
LPS+Nigericin / Unstim,Sulfo (STY),714,1403,1403,1.283,0.65
P3C4 / Unstim,HexNAc (ST),341,539,539,1.224,0.417
LPS+Nigericin / P3C4,Sulfo (STY),723,1408,1408,1.212,0.559
Nigericin / Unstim,Nitrosyl,676,944,944,1.186,0.695
P3C4+Nigericin / LPS+Nigericin,Sulfo (STY),709,1379,1379,1.178,0.498
P3C4 / Unstim,Sulfo (STY),724,1405,1405,1.169,0.43
LPS+Nigericin / Unstim,Nitrosyl,684,948,948,1.167,0.607
P3C4+Nigericin / LPS,Nitrosyl,681,948,948,1.157,0.692
LPS / Unstim,Sulfo (STY),718,1397,1397,1.148,0.439
LPS+Nigericin / P3C4,Nitrosyl,676,946,946,1.129,0.624
LPS+Nigericin / LPS,Sulfo (STY),712,1390,1390,1.127,0.551
LPS / Unstim,Nitrosyl,683,950,950,1.123,0.478
P3C4+Nigericin / Nigericin,Sulfo (STY),713,1372,1372,1.084,0.495
P3C4 / Unstim,Nitrosyl,679,947,947,1.054,0.454
