Genes,PTM.ModificationTitle,Comparison (group1/group2),N_sites,PTM_log2FC,Protein_log2FC,Corrected_log2FC,Abs_corrected_log2FC,Pvalue,Correction_class
HSP90AB1,Myristoyl,LPS+Nigericin / Unstim,1,-0.189,-0.696,0.507,0.507,0.6752,Direction reversed
CASP1,Nitrosyl,LPS+Nigericin / LPS,1,-0.949,-0.7,-0.249,0.249,0.6781,Substantially reduced
HSPA8,GlyGly (K),P3C4+Nigericin / Unstim,2,0.01,-0.871,0.881,0.881,0.6794,Direction reversed
IL1B,GlyGly (K),LPS+Nigericin / LPS,1,0.726,-0.922,1.648,1.648,0.6807,Robust after correction
IL1B,Hex (K),LPS+Nigericin / LPS,1,0.726,-0.922,1.648,1.648,0.6807,Robust after correction
HSP90AB1,Acetyl (K),LPS+Nigericin / LPS,2,-0.515,-0.359,-0.156,0.478,0.6867,Robust after correction
HSPA8,Nitrosyl,LPS+Nigericin / Unstim,1,-0.711,-0.515,-0.196,0.196,0.6894,Substantially reduced
IL1B,Myristoyl,P3C4+Nigericin / Unstim,1,-0.319,-0.305,-0.014,0.014,0.6904,Substantially reduced
HSP90AA1,Acetyl (K),LPS+Nigericin / Unstim,1,-0.866,-0.72,-0.146,0.146,0.7174,Substantially reduced
HSP90AA1,Trimethyl (K),LPS+Nigericin / LPS,1,-0.207,-0.355,0.148,0.148,0.7348,Direction reversed
HSP90AA1,Acetyl (K),P3C4+Nigericin / Unstim,1,0.519,-0.981,1.501,1.501,0.744,Robust after correction
IL1B,GlyGly (K),P3C4+Nigericin / Unstim,1,-0.368,-0.305,-0.063,0.063,0.7554,Substantially reduced
HSPA8,Oxidation (W),LPS+Nigericin / LPS,1,-0.163,-0.216,0.053,0.053,0.763,Protein stable
HSPA8,Acetyl (K),P3C4+Nigericin / Unstim,2,0.313,-0.871,1.184,1.184,0.7663,Robust after correction
HSP90AB1,Oxidation (W),P3C4 / Unstim,2,-0.024,-0.059,0.035,0.071,0.7748,Protein stable
HSP90AA1,Acetyl (K),LPS+Nigericin / LPS,1,-0.639,-0.355,-0.284,0.284,0.7804,Substantially reduced
HSPA8,Oxidation (W),P3C4 / Unstim,1,0.076,0.01,0.066,0.066,0.7891,Protein stable
IL1B,GlyGly (K),LPS / Unstim,1,-0.419,1.586,-2.005,2.005,0.7948,Robust after correction
IL1B,Hex (K),LPS / Unstim,1,-0.419,1.586,-2.005,2.005,0.7948,Robust after correction
IL1B,GlyGly (K),LPS+Nigericin / Unstim,1,0.307,0.665,-0.357,0.357,0.8191,Direction reversed
IL1B,Hex (K),LPS+Nigericin / Unstim,1,0.307,0.665,-0.357,0.357,0.8191,Direction reversed
GSDMD,Nitrosyl,P3C4+Nigericin / P3C4,2,0.085,-0.405,0.489,0.489,0.8193,Robust after correction
IL1B,Hex (K),P3C4+Nigericin / Unstim,1,0.213,-0.305,0.518,0.518,0.8201,Robust after correction
CASP1,Nitrosyl,LPS / Unstim,1,-0.391,0.183,-0.574,0.574,0.8271,Protein stable
HSP90AA1,HexNAc (ST),LPS / Unstim,1,0.341,-0.365,0.706,0.706,0.8345,Robust after correction
HSP90AA1,HexNAc (ST),P3C4+Nigericin / P3C4,1,-0.089,-0.914,0.825,0.825,0.8357,Direction reversed
PYCARD,Phospho (STY),LPS / Unstim,1,-0.337,0.403,-0.74,0.74,0.8367,Robust after correction
GSDMD,Oxidation (W),P3C4+Nigericin / Unstim,1,-0.385,-0.186,-0.199,0.199,0.8555,Protein stable
HSPA8,Nitrosyl,P3C4+Nigericin / P3C4,1,-0.369,-0.881,0.512,0.512,0.8624,Direction reversed
HSP90AB1,Myristoyl,LPS / Unstim,1,0.039,-0.337,0.376,0.376,0.8644,Robust after correction
PYCARD,Phospho (STY),P3C4+Nigericin / Unstim,1,-0.267,0.637,-0.904,0.904,0.8704,Robust after correction
HSP90AB1,Phospho (STY),LPS+Nigericin / LPS,1,0.236,-0.359,0.595,0.595,0.8878,Robust after correction
HSPA8,Nitrosyl,P3C4+Nigericin / Unstim,1,-0.269,-0.871,0.602,0.602,0.889,Direction reversed
HSP90AA1,Oxidation (W),P3C4 / Unstim,1,0.02,-0.067,0.087,0.087,0.8909,Protein stable
IL1B,Acetyl (K),P3C4+Nigericin / Unstim,1,-0.276,-0.305,0.028,0.028,0.8978,Direction reversed
CASP1,Nitrosyl,P3C4+Nigericin / Unstim,1,-0.227,-0.72,0.493,0.493,0.9003,Direction reversed
HSP90AA1,Oxidation (W),LPS+Nigericin / LPS,1,-0.056,-0.355,0.299,0.299,0.9098,Direction reversed
HSP90AA1,HexNAc (ST),P3C4+Nigericin / Unstim,1,-0.21,-0.981,0.771,0.771,0.9142,Direction reversed
HSP90AA1,Acetyl (K),LPS / Unstim,1,-0.227,-0.365,0.137,0.137,0.917,Direction reversed
IL1B,Phospho (STY),P3C4+Nigericin / Unstim,1,-0.079,-0.305,0.226,0.226,0.9208,Direction reversed
HSP90AA1,HexNAc (ST),P3C4 / Unstim,1,-0.121,-0.067,-0.054,0.054,0.9491,Protein stable
HSPA8,Nitrosyl,P3C4 / Unstim,1,0.1,0.01,0.09,0.09,0.9591,Protein stable
HSP90AA1,Nitrosyl,LPS+Nigericin / Unstim,4,-2.608,-0.72,-1.888,1.999,9e-04,Robust after correction
