"Genes","PTM.ModificationTitle","Comparison (group1/group2)","N_sites","Mean_corr","Mean_abs_corr","N_robust_sites","Min_p"
"HSP90AA1","Oxidation (W)","LPS / Unstim",1,-0.15633998060081,0.15633998060081,0,0.167198461363937
"HSP90AA1","Hex (K)","LPS+Nigericin / LPS",2,0.003839711393002,0.152087700958447,0,0.596366094510045
"HSP90AA1","Trimethyl (K)","LPS+Nigericin / LPS",1,0.147955494316825,0.147955494316825,0,0.734780187196179
"HSP90AA1","Acetyl (K)","LPS+Nigericin / Unstim",1,-0.146312244093865,0.146312244093865,0,0.717361146760638
"HSP90AB1","Oxidation (W)","LPS / Unstim",2,0.100338748252053,0.144834233814825,0,0.212005414079103
"HSP90AA1","Oxidation (W)","LPS+Nigericin / Unstim",1,0.14289102498149,0.14289102498149,0,0.168157998024226
"HSP90AA1","Acetyl (K)","LPS / Unstim",1,0.137417944623207,0.137417944623207,0,0.917032475286935
"PPP2CA","Trimethyl (K)","P3C4+Nigericin / Unstim",1,0.133443568897769,0.133443568897769,0,0.283276985386971
"HSPA8","Oxidation (W)","LPS / Unstim",1,0.132404813455048,0.132404813455048,0,0.664388686957776
"HSP90AB1","Myristoyl","LPS+Nigericin / LPS",1,0.131091309508174,0.131091309508174,0,0.621706798894349
"HSP90AA1","Sulfo (STY)","P3C4+Nigericin / P3C4",1,-0.122370765410049,0.122370765410049,0,0.266430847117361
"IL1B","GlyGly (K)","P3C4 / Unstim",1,0.11915250072879,0.11915250072879,0,0.0129908998287328
"IL1B","Hex (K)","P3C4 / Unstim",1,0.11915250072879,0.11915250072879,0,0.0129908883757148
"IL1B","Nitrosyl","LPS+Nigericin / Unstim",1,-0.103215728950805,0.103215728950805,0,0.667587337413877
"HSPA8","Phospho (STY)","LPS+Nigericin / Unstim",4,-0.0934540835428757,0.0956886132995138,0,0.343447998094788
"HSPA8","Myristoyl","LPS+Nigericin / LPS",3,-0.00872014269105409,0.0910003768853732,0,0.379110485895417
"HSPA8","Nitrosyl","P3C4 / Unstim",1,0.0903995005607183,0.0903995005607183,0,0.959062099633372
"HSP90AA1","Oxidation (W)","P3C4 / Unstim",1,0.0868559264608484,0.0868559264608484,0,0.890852545329964
"HSPA8","Myristoyl","P3C4 / Unstim",2,0.0843490064455242,0.0843490064455242,0,0.342898467775361
"HSP90AA1","Trimethyl (K)","LPS / Unstim",2,0.00705504758744849,0.0828346603775465,0,0.470860667947641
"HSP90AA1","Sulfo (STY)","P3C4+Nigericin / Unstim",1,0.079494450849486,0.079494450849486,0,0.249792509473756
"HSP90AB1","Oxidation (W)","P3C4 / Unstim",2,0.0349421944846197,0.0708349590157756,0,0.774842831090869
"HSP90AB1","Trimethyl (K)","LPS / Unstim",2,0.069719490125826,0.069719490125826,0,0.124064321727208
"IL1B","Nitrosyl","LPS / Unstim",1,-0.0679120171401,0.0679120171401,0,0.00876581347543478
"PYCARD","Phospho (STY)","LPS+Nigericin / Unstim",1,0.0673080763225989,0.0673080763225989,0,0.576111202915567
"HSPA8","Oxidation (W)","P3C4 / Unstim",1,0.0659707891038464,0.0659707891038464,0,0.789113841002979
"IL1B","GlyGly (K)","P3C4+Nigericin / Unstim",1,-0.062712822539242,0.062712822539242,0,0.755434170675927
"HSP90AA1","HexNAc (ST)","P3C4 / Unstim",1,-0.0543474164146246,0.0543474164146246,0,0.949095536721152
"HSPA8","Oxidation (W)","LPS+Nigericin / LPS",1,0.053036507154509,0.053036507154509,0,0.762989063288084
"IL1B","Phospho (STY)","LPS+Nigericin / LPS",1,-0.039891165588445,0.039891165588445,0,0.327072754173274
"IL1B","Nitrosyl","LPS+Nigericin / LPS",1,-0.035303711810704,0.035303711810704,0,0.281057633403938
"IL1B","Acetyl (K)","P3C4+Nigericin / Unstim",1,0.028417869002452,0.028417869002452,0,0.897763690031107
"IL1B","Myristoyl","LPS+Nigericin / LPS",1,0.0233531089887621,0.0233531089887621,0,0.200462855839896
"IL1B","Myristoyl","P3C4+Nigericin / Unstim",1,-0.014251092038356,0.014251092038356,0,0.690396222862747
"HSP90AA1","Trimethyl (K)","P3C4+Nigericin / P3C4",1,-0.011457167517082,0.011457167517082,0,0.0545649136231474
