"Genes","PTM.ModificationTitle","Comparison (group1/group2)","N_sites","Mean_corr","Mean_abs_corr","N_robust_sites","Min_p"
"HSPA8","Crotonyl","LPS+Nigericin / LPS",3,-1.99176609715444,2.4988188540087,0,0.182866990371042
"HSPA8","HexNAc (ST)","LPS+Nigericin / Unstim",4,2.45689817597152,2.45689817597152,0,0.0885869040597145
"HSP90AA1","Trimethyl (K)","P3C4+Nigericin / Unstim",2,-2.14357255218255,2.38823011502402,0,0.112630952756021
"HSP90AB1","Nitrosyl","P3C4+Nigericin / Unstim",4,2.35657590041749,2.35657590041749,0,0.14316876311937
"HSP90AA1","Nitrosyl","P3C4+Nigericin / P3C4",3,-1.95077249063738,2.34101698053923,0,0.0866505181320432
"HSP90AB1","Trimethyl (K)","P3C4+Nigericin / P3C4",2,2.23594956907737,2.23594956907737,0,0.383909351456281
"HSPA8","Sulfo (STY)","P3C4+Nigericin / Unstim",6,2.18343316412112,2.18343316412112,0,0.251268615248143
"HSP90AB1","GlyGly (K)","LPS+Nigericin / Unstim",2,-0.0624806465135401,2.09558584084361,0,0.271298990885498
"IL1B","Acetyl (K)","LPS / Unstim",1,2.06539836454882,2.06539836454882,0,0.206841917731163
"HSP90AA1","Nitrosyl","LPS+Nigericin / LPS",4,-1.54810265692299,2.02750326447007,0,0.224482322733498
"IL1B","GlyGly (K)","LPS / Unstim",1,-2.00540764358856,2.00540764358856,0,0.794843480070792
"IL1B","Hex (K)","LPS / Unstim",1,-2.00540764358856,2.00540764358856,0,0.794843448520348
"HSP90AB1","GlyGly (K)","P3C4+Nigericin / Unstim",2,-0.735784267423486,1.99830320072161,0,0.342695481444685
"HSPA8","Nitrosyl","LPS+Nigericin / LPS",1,-1.96966743166227,1.96966743166227,0,0.0930646283049307
"HSP90AA1","Acetyl (K)","P3C4 / Unstim",1,1.92566526531577,1.92566526531577,0,0.109387121074191
"HSPA8","Hex (K)","P3C4+Nigericin / P3C4",7,0.248879489186769,1.88907796542825,0,0.423117605898192
"HSPA8","Sulfo (STY)","LPS / Unstim",6,1.70480557291771,1.87946547090686,0,0.0853143427279838
"HSP90AB1","GlyGly (K)","P3C4 / Unstim",2,-0.354918081281489,1.87838255787737,0,0.364928209702385
"HSPA8","Hex (K)","LPS+Nigericin / Unstim",7,1.31743107792862,1.81721946513809,0,0.0885869040597145
"HSPA8","Nitrosyl","LPS / Unstim",1,1.77352315493898,1.77352315493898,0,0.188867767416164
"HSP90AA1","Sulfo (STY)","LPS / Unstim",3,-1.45436817667706,1.76977927481869,0,0.343766237732619
"GSDMD","Nitrosyl","LPS+Nigericin / Unstim",2,1.75427133569153,1.75427133569153,0,0.158295127865974
"PYCARD","Sulfo (STY)","LPS / Unstim",1,1.73219440406876,1.73219440406876,0,0.144597021159221
"IL1B","Acetyl (K)","P3C4 / Unstim",1,1.6780378811786,1.6780378811786,0,0.201538139109935
"GSDMD","Oxidation (W)","LPS / Unstim",1,1.67420472549312,1.67420472549312,0,0.173315727049736
"IL1B","Acetyl (K)","P3C4+Nigericin / P3C4",1,-1.64962001217615,1.64962001217615,0,0.198556233681461
"IL1B","GlyGly (K)","LPS+Nigericin / LPS",1,1.64797240432951,1.64797240432951,0,0.680695775417794
"IL1B","Hex (K)","LPS+Nigericin / LPS",1,1.64797240432951,1.64797240432951,0,0.680695708899441
"HSPA8","Sulfo (STY)","LPS+Nigericin / LPS",6,-1.00796857590862,1.59789925375975,0,0.102690887639134
"HSP90AA1","Acetyl (K)","P3C4+Nigericin / Unstim",1,1.5005128672099,1.5005128672099,0,0.74396644442421
"PYCARD","Phospho (STY)","P3C4+Nigericin / P3C4",1,-1.48252418492156,1.48252418492156,0,0.389270743085584
"HSP90AB1","GlyGly (K)","LPS / Unstim",2,-0.856884464507972,1.47555413860686,0,0.377364780480017
"GSDMD","Nitrosyl","LPS / Unstim",2,1.45173099737748,1.45173099737748,0,0.101205303691189
"HSPA8","Hex (K)","P3C4+Nigericin / Unstim",7,1.43928417115516,1.43928417115516,0,0.171711049978476
"HSPA8","Hex (K)","LPS / Unstim",6,1.03315347296856,1.42247765348006,0,0.118488469657479
"PYCARD","Sulfo (STY)","P3C4 / Unstim",1,1.41758001576924,1.41758001576924,0,0.131451991855885
"HSPA8","Phospho (STY)","P3C4+Nigericin / P3C4",4,1.41042341043689,1.41042341043689,0,0.191741540400137
"HSPA8","Hex (K)","P3C4 / Unstim",7,1.1904046819684,1.39977237541345,0,0.419907319507888
"PYCARD","Sulfo (STY)","LPS+Nigericin / LPS",1,-1.3526416913547,1.3526416913547,0,0.284963284856906
"HSPA8","Phospho (STY)","P3C4+Nigericin / Unstim",4,1.31024271176932,1.31024271176932,0,0.447148682992925
"HSPA8","GlyGly (K)","LPS / Unstim",2,1.00084948335055,1.27711519162806,0,0.099919939123088
"HSP90AA1","GlyGly (K)","P3C4+Nigericin / Unstim",5,-0.13466172219715,1.21075063485475,0,0.0773554063336655
"HSPA8","Acetyl (K)","P3C4+Nigericin / Unstim",2,1.18378651055539,1.18378651055539,0,0.766285833395641
"HSP90AB1","Trimethyl (K)","LPS+Nigericin / Unstim",2,1.17828071874653,1.17828071874653,0,0.229254274581512
"HSPA8","GlyGly (K)","LPS+Nigericin / Unstim",2,1.14380219718685,1.14380219718685,0,0.497395589952586
"HSPA8","Hex (K)","LPS+Nigericin / LPS",6,0.282295027462341,1.11825455507363,0,0.0888829637482353
"HSP90AB1","HexNAc (ST)","LPS+Nigericin / Unstim",1,1.11116640931907,1.11116640931907,0,0.424379418247555
"HSP90AB1","Trimethyl (K)","LPS+Nigericin / LPS",2,1.1085612286207,1.1085612286207,0,0.1316952029142
"HSPA8","HexNAc (ST)","P3C4+Nigericin / P3C4",4,-0.930221716090754,1.05847289809416,0,0.423117605898192
"HSP90AB1","Nitrosyl","LPS+Nigericin / LPS",4,0.851043210765388,1.04152707319683,0,0.0536100294913072
"HSP90AB1","Hex (K)","LPS+Nigericin / LPS",1,0.946805592496456,0.946805592496456,0,0.0989890068958116
"PYCARD","Trimethyl (K)","LPS+Nigericin / LPS",1,-0.926393311718866,0.926393311718866,0,0.3242764209901
"GSDMD","Oxidation (W)","LPS+Nigericin / LPS",1,-0.909822299507808,0.909822299507808,0,0.36394766937938
"HSP90AB1","Nitrosyl","P3C4+Nigericin / P3C4",4,-0.842257219255891,0.90506148619629,0,0.0533104401845859
"PYCARD","Phospho (STY)","P3C4+Nigericin / Unstim",1,-0.90394069178559,0.90394069178559,0,0.870371614738319
"HSPA8","Acetyl (K)","LPS / Unstim",3,0.666575425289994,0.901397055299972,0,0.460868759477684
"HSPA8","Sulfo (STY)","P3C4+Nigericin / P3C4",6,0.502625683345312,0.8896793578335,0,0.0204322250259683
"HSPA8","GlyGly (K)","P3C4+Nigericin / Unstim",2,0.880998272975658,0.880998272975658,0,0.679356857150088
"HSP90AB1","Crotonyl","P3C4+Nigericin / P3C4",3,-0.597499327588183,0.850961845689057,0,0.243836031772179
"PPP2CA","Trimethyl (K)","LPS+Nigericin / LPS",1,0.843451203337998,0.843451203337998,0,0.336584606801573
"PYCARD","Sulfo (STY)","P3C4+Nigericin / Unstim",1,0.830160978498293,0.830160978498293,0,0.34668845720847
"HSP90AA1","HexNAc (ST)","P3C4+Nigericin / P3C4",1,0.825487426746854,0.825487426746854,0,0.835718513831253
"CASP1","Nitrosyl","LPS+Nigericin / Unstim",1,-0.822886562212335,0.822886562212335,0,0.477947645207113
"PYCARD","Phospho (STY)","LPS+Nigericin / LPS",1,0.807289051750784,0.807289051750784,0,0.515157455454354
"HSP90AB1","GlyGly (K)","LPS+Nigericin / LPS",2,0.794403817994432,0.794403817994432,0,0.403918445808946
"HSP90AA1","HexNAc (ST)","P3C4+Nigericin / Unstim",1,0.771140010332229,0.771140010332229,0,0.914187344008069
