Comparison (group1/group2),PTM.ModificationTitle,n,n_qvalue_nonnull,n_sig,n_up_sig,n_down_sig,median_abs_log2,median_log2,mean_log2,median_qvalue
P3C4+Nigericin / LPS,Methyl (KR),1091,1091,0,0,0,0.6848136576799894,-0.4196242963634373,-0.4637686044108173,0.6339725372541863
P3C4+Nigericin / LPS,Myristoyl,539,539,0,0,0,0.7315468228525713,-0.4277073694379648,-0.42822821328223687,0.6339725372541863
P3C4+Nigericin / LPS,Nitrosyl,970,970,0,0,0,0.6920055927971964,-0.4617765805812024,-0.47004389717953976,0.6339725372541863
P3C4+Nigericin / LPS,Oxidation (M),5470,5470,0,0,0,0.4713401600900178,-0.10937867615634965,-0.11899127304715433,0.6412495906135871
P3C4+Nigericin / LPS,Oxidation (P),2773,2773,0,0,0,0.6215605072242281,-0.4560178777646712,-0.5050865475997443,0.6339725372541863
P3C4+Nigericin / LPS,Oxidation (W),475,475,0,0,0,0.6007114582037091,-0.5007701246556419,-0.5562426052080035,0.6339725372541863
P3C4+Nigericin / LPS,Phospho (STY),642,642,0,0,0,0.7943888678950417,-0.5604336199835473,-0.80781918186005,0.6339725372541863
P3C4+Nigericin / LPS,Phosphoadenosine,247,247,0,0,0,0.6509291827360134,-0.1060743299643382,-0.10352962889263345,0.6339725372541863
P3C4+Nigericin / LPS,Propionamide,850,850,0,0,0,0.8047459765693968,-0.44307859220980683,-0.5170256960210322,0.6339725372541863
P3C4+Nigericin / LPS,Sulfo (STY),1424,1424,0,0,0,0.7016523719264323,-0.4679454370596725,-0.5070968027293791,0.6339725372541863
P3C4+Nigericin / LPS,Trimethyl (K),921,921,0,0,0,0.8710924175629967,-0.318406920351488,-0.36747988658906944,0.6339725372541863
P3C4+Nigericin / LPS,Trioxidation (C),626,626,0,0,0,0.665233170586108,-0.48982095463545816,-0.5000493460090585,0.6339725372541863
P3C4+Nigericin / LPS+Nigericin,Acetyl (K),453,453,0,0,0,0.639060381609768,-0.3060184950309174,-0.19823094105591188,0.6440966338022729
P3C4+Nigericin / LPS+Nigericin,Biotin,406,406,0,0,0,0.4769782336630616,-0.2287952898178814,-0.25845858616123246,0.6448088327267733
P3C4+Nigericin / LPS+Nigericin,Carbamidomethyl (C),18125,18125,0,0,0,0.4302293634507217,-0.4049701385606639,-0.4017191643122168,0.6339725372541863
P3C4+Nigericin / LPS+Nigericin,Carbamylation (KR),1449,1449,0,0,0,0.5440509519823022,-0.32018869119026,-0.33052562023863463,0.6446967892003463
P3C4+Nigericin / LPS+Nigericin,Carboxy,801,801,0,0,0,0.4862493738241591,-0.280535793605805,-0.31061869058921054,0.6488731640344207
P3C4+Nigericin / LPS+Nigericin,Carboxymethyl,717,717,0,0,0,0.4874610963681519,-0.2680635956371895,-0.2515641638712554,0.6446967892003463
P3C4+Nigericin / LPS+Nigericin,Cation:Mg[II],1613,1613,0,0,0,0.5050890930797002,-0.3088540208385847,-0.31483996659691615,0.6446967892003463
P3C4+Nigericin / LPS+Nigericin,Cation:Na (DE),1871,1871,1,1,0,0.4791120632557014,-0.295443578641267,-0.2943593531439977,0.6450192344684129
P3C4+Nigericin / LPS+Nigericin,Crotonyl,619,619,0,0,0,0.5423392782900591,-0.2054681011745534,-0.31135193473128603,0.6446967892003463
P3C4+Nigericin / LPS+Nigericin,Cysteinyl,170,170,0,0,0,0.5838626519319854,-0.2568089813316854,-0.16718445426319908,0.6449567950550865
P3C4+Nigericin / LPS+Nigericin,Didehydro,4040,4040,0,0,0,0.5003101010584197,-0.3482370972793625,-0.3385550698781071,0.6446967892003463
P3C4+Nigericin / LPS+Nigericin,Dimethyl (KR),1446,1446,0,0,0,0.510716303935137,-0.3398809377527326,-0.4292244340957963,0.6446967892003463
P3C4+Nigericin / LPS+Nigericin,Dioxidation (MW),1128,1128,0,0,0,0.3883132596226843,-0.2098314111544181,-0.22636233671576056,0.6612077704223382
P3C4+Nigericin / LPS+Nigericin,Formyl,1157,1157,0,0,0,0.4943788461974976,-0.2359396755227338,-0.3303179053340777,0.6446967892003463
P3C4+Nigericin / LPS+Nigericin,GlyGly (K),581,581,0,0,0,0.585438114230765,-0.2336857016222537,-0.3958961534964771,0.6464601201924653
P3C4+Nigericin / LPS+Nigericin,Hex (K),439,439,0,0,0,0.621590390519729,-0.2020195718137764,-0.10458795469131835,0.6443695776981798
P3C4+Nigericin / LPS+Nigericin,HexNAc (ST),532,532,0,0,0,0.4965698362683365,-0.2938324695169464,-0.5279779490642305,0.6446967892003463
P3C4+Nigericin / LPS+Nigericin,Hydroxymethyl,1024,1024,0,0,0,0.49034584841665924,-0.2947223402009712,-0.39222947257527263,0.6484251122630326
P3C4+Nigericin / LPS+Nigericin,Methyl (E),2565,2565,0,0,0,0.4781805593341922,-0.3433604448825169,-0.3960427649890691,0.6446967892003463
P3C4+Nigericin / LPS+Nigericin,Methyl (KR),1052,1052,0,0,0,0.4982225723966419,-0.34338906760855875,-0.35194926721509606,0.6446967892003463
P3C4+Nigericin / LPS+Nigericin,Myristoyl,538,538,0,0,0,0.5583574499500441,-0.2687046132769373,-0.3839919155758243,0.644141504580616
P3C4+Nigericin / LPS+Nigericin,Nitrosyl,966,966,0,0,0,0.4601688114443745,-0.32463850127661087,-0.3613324131064199,0.6446967892003463
P3C4+Nigericin / LPS+Nigericin,Oxidation (M),5497,5497,0,0,0,0.2988513335842184,-0.1359080063625986,-0.14756562298136505,0.6906787771496543
P3C4+Nigericin / LPS+Nigericin,Oxidation (P),2781,2781,0,0,0,0.4542293744957428,-0.3417195403847567,-0.3681371844986358,0.6446967892003463
P3C4+Nigericin / LPS+Nigericin,Oxidation (W),474,474,0,0,0,0.4312478266444796,-0.3303395773139759,-0.25075712798002253,0.6456164345000569
P3C4+Nigericin / LPS+Nigericin,Phospho (STY),626,626,0,0,0,0.5563129453578357,-0.3421267240423911,-0.5738171232011062,0.6446967892003463
P3C4+Nigericin / LPS+Nigericin,Phosphoadenosine,239,239,0,0,0,0.526916922541278,-0.199723439300011,-0.33010586461536906,0.6363527478539934
P3C4+Nigericin / LPS+Nigericin,Propionamide,844,844,0,0,0,0.5212430950009904,-0.2480519620548404,-0.2616743014248417,0.6446967892003463
P3C4+Nigericin / LPS+Nigericin,Sulfo (STY),1425,1425,0,0,0,0.4920349350595073,-0.2695184204350525,-0.3638561307781338,0.646598328162073
P3C4+Nigericin / LPS+Nigericin,Trimethyl (K),919,919,0,0,0,0.5983794460800973,-0.2665654162901575,-0.31348990376380276,0.6443927016799351
P3C4+Nigericin / LPS+Nigericin,Trioxidation (C),624,624,0,0,0,0.49211557389873695,-0.3490306593339113,-0.3734881965830176,0.6410602478472691
P3C4+Nigericin / Nigericin,Acetyl (K),451,451,0,0,0,0.6497046872153215,-0.2634141442784404,-0.1853141790221983,0.6342949668574872
P3C4+Nigericin / Nigericin,Biotin,400,400,0,0,0,0.5981448491415601,-0.2181725318653563,-0.4656679211649346,0.6346108793998826
P3C4+Nigericin / Nigericin,Carbamidomethyl (C),18137,18137,0,0,0,0.4901680480648028,-0.4630369604312512,-0.4277993181703595,0.6339725372541863
P3C4+Nigericin / Nigericin,Carbamylation (KR),1455,1455,0,0,0,0.5215645479866163,-0.2933998985551164,-0.32207318081664016,0.6359673871205154
P3C4+Nigericin / Nigericin,Carboxy,779,779,0,0,0,0.501075817493171,-0.2578733894509555,-0.24403003427070005,0.6446967892003463
P3C4+Nigericin / Nigericin,Carboxymethyl,722,722,0,0,0,0.4596277299880036,-0.2459217264209137,-0.33195378775795675,0.6446967892003463
P3C4+Nigericin / Nigericin,Cation:Mg[II],1596,1596,0,0,0,0.5028394131106186,-0.2714113346527711,-0.26105938450482113,0.6398092049810753
P3C4+Nigericin / Nigericin,Cation:Na (DE),1860,1860,0,0,0,0.5178318777647481,-0.2753880694322024,-0.24093872649753859,0.6384036219373311
P3C4+Nigericin / Nigericin,Crotonyl,611,611,0,0,0,0.5336785513490111,-0.2873257105732236,-0.44281184562673975,0.6343505862464542
P3C4+Nigericin / Nigericin,Cysteinyl,162,162,0,0,0,0.6786824112291743,-0.3290927046364152,-0.2161221966274947,0.6339725372541863
P3C4+Nigericin / Nigericin,Didehydro,4036,4036,0,0,0,0.49284205419048444,-0.3206739482030734,-0.31621771246949465,0.6352348151569631
P3C4+Nigericin / Nigericin,Dimethyl (KR),1447,1447,0,0,0,0.5232749076762376,-0.2978301648662677,-0.29623440646827176,0.6341281892221723
P3C4+Nigericin / Nigericin,Dioxidation (MW),1123,1123,0,0,0,0.4436041435933545,-0.3056911799428976,-0.33714769360982,0.6400152085613008
P3C4+Nigericin / Nigericin,Formyl,1170,1170,0,0,0,0.5207423368064328,-0.257323702052895,-0.30009917278977266,0.6372722302692492
P3C4+Nigericin / Nigericin,GlyGly (K),603,603,0,0,0,0.6917195208644367,-0.2263214538525734,-0.13741322718990906,0.6347896097750859
P3C4+Nigericin / Nigericin,Hex (K),439,439,0,0,0,0.5418206222308192,-0.2006024803752367,-0.08355195577989061,0.639007081459606
P3C4+Nigericin / Nigericin,HexNAc (ST),533,533,0,0,0,0.504563699505693,-0.2435613464600364,-0.1975623073718391,0.6353737022058515
P3C4+Nigericin / Nigericin,Hydroxymethyl,1021,1021,0,0,0,0.49052931620203,-0.2841275583315384,-0.3309186025826656,0.6358921660967499
P3C4+Nigericin / Nigericin,Methyl (E),2572,2572,0,0,0,0.48175418252264257,-0.3153664358254463,-0.3373479506654639,0.634576940328851
P3C4+Nigericin / Nigericin,Methyl (KR),1063,1063,0,0,0,0.467461431969292,-0.2670337265385419,-0.23787529517732017,0.6346003942524161
P3C4+Nigericin / Nigericin,Myristoyl,538,538,0,0,0,0.5464678083733069,-0.1709414816965496,-0.22389627429764652,0.6367951456930384
P3C4+Nigericin / Nigericin,Nitrosyl,961,961,0,0,0,0.5414205393003888,-0.3393060311033873,-0.38289893660199675,0.6339725372541863
P3C4+Nigericin / Nigericin,Oxidation (M),5502,5502,0,0,0,0.3889547825417206,-0.2812679083219936,-0.23180238986948717,0.6452968959610195
P3C4+Nigericin / Nigericin,Oxidation (P),2772,2772,0,0,0,0.4468095202936325,-0.3248581233756781,-0.3108939929644999,0.6446967892003463
P3C4+Nigericin / Nigericin,Oxidation (W),475,475,0,0,0,0.3955258143282164,-0.3155850788011986,-0.23310004618120292,0.6374184618367522
P3C4+Nigericin / Nigericin,Phospho (STY),638,638,0,0,0,0.4751027251411831,-0.2364335038039801,-0.4463257322638985,0.6446967892003463
P3C4+Nigericin / Nigericin,Phosphoadenosine,224,224,0,0,0,0.5761899858984236,-0.15327150832632513,0.01514542557010569,0.6446967892003463
P3C4+Nigericin / Nigericin,Propionamide,847,847,0,0,0,0.6069851075739573,-0.2894394536443382,-0.3160871180631265,0.6339725372541863
P3C4+Nigericin / Nigericin,Sulfo (STY),1418,1418,0,0,0,0.49466275013905436,-0.2699187181373084,-0.3083675918779488,0.6446967892003463
P3C4+Nigericin / Nigericin,Trimethyl (K),910,910,0,0,0,0.564821530944891,-0.25534970781344646,-0.268838506430965,0.6339725372541863
P3C4+Nigericin / Nigericin,Trioxidation (C),620,620,0,0,0,0.4878457308414623,-0.30280159249774596,-0.2628050971614187,0.6348188375943539
Unstim / LPS,Acetyl (K),456,456,0,0,0,0.5737027227079567,0.19068655925949435,0.16832710792946998,0.6339725372541863
Unstim / LPS,Biotin,401,401,0,0,0,0.5686748647497736,0.1559700717075108,-0.08993506038874079,0.6339725372541863
Unstim / LPS,Carbamidomethyl (C),18134,18134,0,0,0,0.4183519262795733,0.3356760905270275,0.3101916582154257,0.6339725372541863
Unstim / LPS,Carbamylation (KR),1419,1419,0,0,0,0.4671157127980946,0.1387600412506507,0.14509945920519204,0.6401887274623493
Unstim / LPS,Carboxy,803,803,0,0,0,0.4742128034227731,0.1284606556683618,0.0022867721481386856,0.6446967892003463
Unstim / LPS,Carboxymethyl,716,716,0,0,0,0.4577660645142052,0.1099318939680682,0.07673608710513015,0.6446967892003463
Unstim / LPS,Cation:Mg[II],1606,1606,0,0,0,0.4872768102797904,0.1592969469615237,0.1836481780076252,0.6343522325153025
Unstim / LPS,Cation:Na (DE),1870,1870,0,0,0,0.46326283501594906,0.1626578693598436,0.2820743317919213,0.6413928407601193
Unstim / LPS,Crotonyl,626,626,0,0,0,0.5205384068557605,0.18455124427656744,0.43531704698510787,0.635934625876333
Unstim / LPS,Cysteinyl,170,170,0,0,0,0.577598939077618,0.14742816072328663,-0.14749460036039688,0.6339725372541863
Unstim / LPS,Didehydro,4079,4079,0,0,0,0.4420979558867333,0.1818270398564099,0.20524194574142438,0.6425355561865803
Unstim / LPS,Dimethyl (KR),1462,1462,0,0,0,0.49328055775258384,0.18383267849794843,0.2856222309190481,0.6370198823263062
Unstim / LPS,Dioxidation (MW),1135,1135,0,0,0,0.3445743972512741,0.0739373200298734,0.04553253067057874,0.6558437672411638
Unstim / LPS,Formyl,1194,1194,0,0,0,0.4908639277207326,0.160550335088505,0.19124211639461272,0.641690496237478
Unstim / LPS,GlyGly (K),588,588,0,0,0,0.5990750208422777,0.1789516616883729,0.017126643629434633,0.6339725372541863
Unstim / LPS,Hex (K),433,433,0,0,0,0.6223983008140295,0.104643512169345,0.1561185439883246,0.6339725372541863
Unstim / LPS,HexNAc (ST),546,546,0,0,0,0.5111605034507181,0.12659404471321578,0.15488802149121522,0.6342371514565563
Unstim / LPS,Hydroxymethyl,1012,1012,0,0,0,0.475074811060834,0.16704026399004065,0.248945649687309,0.6355871911623949
Unstim / LPS,Methyl (E),2590,2590,0,0,0,0.4191934595718593,0.1802138331389259,0.1794004394094817,0.6414231027338111
Unstim / LPS,Methyl (KR),1102,1102,0,0,0,0.46976466756297386,0.18770833663070535,0.13394863304361243,0.6341281892221723
Unstim / LPS,Myristoyl,533,533,0,0,0,0.526473786035089,0.1503176619740892,0.2081811278651751,0.6357675837588183
Unstim / LPS,Nitrosyl,972,972,0,0,0,0.4794895971898379,0.1977705866144113,0.1617574508171367,0.6339725372541863
Unstim / LPS,Oxidation (M),5467,5467,0,0,0,0.3222454137948925,0.1089213035688785,0.12469558271633913,0.6676053974711625
Unstim / LPS,Oxidation (P),2810,2810,1,1,0,0.40262034997791674,0.2099484665725451,0.19495315290046603,0.6432843341612402
Unstim / LPS,Oxidation (W),475,475,0,0,0,0.3186920067680424,0.164104255757397,0.14482720672749952,0.6477290512847338
Unstim / LPS,Phospho (STY),665,665,0,0,0,0.4859969412210241,0.1168890316058752,-0.06968281172413597,0.636589238394176
Unstim / LPS,Phosphoadenosine,247,247,0,0,0,0.4102022979516366,0.0549103233069417,0.14639440386061076,0.6488315266112622
Unstim / LPS,Propionamide,863,863,0,0,0,0.5365088047802853,0.1940276004853301,0.17927905920323844,0.6342563442152699
Unstim / LPS,Sulfo (STY),1446,1446,0,0,0,0.4399325763440422,0.1571940504224114,0.1175136697397392,0.6446967892003463
Unstim / LPS,Trimethyl (K),918,918,0,0,0,0.574470547897675,0.14417730312119226,0.05628551388879611,0.6339725372541863
Unstim / LPS,Trioxidation (C),626,626,0,0,0,0.4202080176609739,0.1552565163772561,0.17548397971554616,0.6385700752261216
Unstim / LPS+Nigericin,Acetyl (K),460,460,0,0,0,0.6647115805233003,0.2062910296956587,0.2494877909316335,0.6339725372541863
Unstim / LPS+Nigericin,Biotin,402,402,0,0,0,0.7690738079209665,0.25392580638501944,0.3192322575308202,0.6339725372541863
Unstim / LPS+Nigericin,Carbamidomethyl (C),18125,18125,0,0,0,0.559569753820382,0.4881649432815463,0.46722721346366924,0.6339725372541863
Unstim / LPS+Nigericin,Carbamylation (KR),1421,1421,0,0,0,0.6389898241124425,0.2144566586722886,0.1871831414309958,0.6339725372541863
Unstim / LPS+Nigericin,Carboxy,813,813,0,0,0,0.5632566852079147,0.2155284248231199,0.21463848357744914,0.6372131430470688
Unstim / LPS+Nigericin,Carboxymethyl,719,719,0,0,0,0.6116575397701007,0.1911186090811094,0.15750619045474176,0.6344139753505676
Unstim / LPS+Nigericin,Cation:Mg[II],1593,1593,0,0,0,0.6310874239473451,0.2906986705735808,0.29550573477499675,0.6341281892221723
Unstim / LPS+Nigericin,Cation:Na (DE),1869,1869,0,0,0,0.6117654438564728,0.2714265821870775,0.27975437079109006,0.6347278419914596
Unstim / LPS+Nigericin,Crotonyl,625,625,0,0,0,0.657926743630456,0.2717364074489454,0.4046342342266383,0.6339725372541863
Unstim / LPS+Nigericin,Cysteinyl,168,168,0,0,0,0.6497001384406131,0.09249489482074155,0.007082338926389506,0.6339725372541863
Unstim / LPS+Nigericin,Didehydro,4083,4083,0,0,0,0.5820950239224065,0.3137053673608145,0.3184269174571494,0.6341281892221723
Unstim / LPS+Nigericin,Dimethyl (KR),1463,1463,0,0,0,0.6569532239759045,0.2652440112124561,0.20542893266297912,0.6339725372541863
Unstim / LPS+Nigericin,Dioxidation (MW),1123,1123,0,0,0,0.5198940828856442,0.2628350549532684,0.2327539443029593,0.6339998572804849
Unstim / LPS+Nigericin,Formyl,1170,1170,0,0,0,0.6356141709080552,0.21300675514910283,0.11332656020330709,0.6339725372541863
Unstim / LPS+Nigericin,GlyGly (K),577,577,0,0,0,0.8491557256027853,0.283405530355049,0.0016561275067805904,0.6339725372541863
Unstim / LPS+Nigericin,Hex (K),430,430,0,0,0,0.7451487088306759,0.1186872813073598,0.2465868629679033,0.6339725372541863
Unstim / LPS+Nigericin,HexNAc (ST),543,543,0,0,0,0.6913193107774561,0.3295662885303315,0.11939369973346231,0.6339725372541863
Unstim / LPS+Nigericin,Hydroxymethyl,1020,1020,0,0,0,0.6329794531917929,0.3263732386394681,0.3280078554226764,0.6343840167949711
Unstim / LPS+Nigericin,Methyl (E),2574,2574,0,0,0,0.6020306785246297,0.3061678750446285,0.32009799268207223,0.6339725372541863
Unstim / LPS+Nigericin,Methyl (KR),1062,1062,0,0,0,0.6242850712340962,0.31036807973993663,0.24378511851609413,0.6339725372541863
Unstim / LPS+Nigericin,Myristoyl,532,532,0,0,0,0.7014454603876532,0.31498803667134395,0.3001600326430528,0.6339725372541863
Unstim / LPS+Nigericin,Nitrosyl,970,970,0,0,0,0.6057516081573711,0.3328490701651085,0.2720937729399694,0.6339725372541863
Unstim / LPS+Nigericin,Oxidation (M),5477,5477,0,0,0,0.4866828247372967,0.1135400308128605,0.09533392113683117,0.640704003977313
Unstim / LPS+Nigericin,Oxidation (P),2800,2800,0,0,0,0.5463458886829415,0.32629278557132874,0.33417607897966795,0.6343118236188279
Unstim / LPS+Nigericin,Oxidation (W),474,474,0,0,0,0.4889053746215347,0.3647764644033983,0.46255519825010766,0.6340248313122578
Unstim / LPS+Nigericin,Phospho (STY),642,642,0,0,0,0.644434018842748,0.2663433845146108,0.09982670491055273,0.6339725372541863
Unstim / LPS+Nigericin,Phosphoadenosine,236,236,0,0,0,0.6107465335531439,0.06961075624473881,0.06265649987708564,0.6446967892003463
Unstim / LPS+Nigericin,Propionamide,850,850,0,0,0,0.7205718417504017,0.30126507802365465,0.45445505819435417,0.6339725372541863
Unstim / LPS+Nigericin,Sulfo (STY),1450,1450,0,0,0,0.6497708332257894,0.28169071155282405,0.2526138675828727,0.6339725372541863
Unstim / LPS+Nigericin,Trimethyl (K),919,919,0,0,0,0.7398027388749748,0.2018524950782183,0.14798705563716705,0.6339725372541863
Unstim / LPS+Nigericin,Trioxidation (C),624,624,0,0,0,0.5899733066012312,0.2996779660119208,0.26850403734561906,0.6339725372541863
Unstim / Nigericin,Acetyl (K),454,454,0,0,0,0.8361728546575443,0.2460112401004484,0.21701103154344295,0.6339725372541863
Unstim / Nigericin,Biotin,403,403,0,0,0,0.9424837394817188,0.3864257926061044,0.17698768534256792,0.6339725372541863
Unstim / Nigericin,Carbamidomethyl (C),18132,18132,0,0,0,0.5634482542321096,0.40190519988772366,0.44137007492268926,0.6339725372541863
Unstim / Nigericin,Carbamylation (KR),1429,1429,0,0,0,0.7279409870927089,0.2070328207814844,0.20869660457630332,0.6339725372541863
Unstim / Nigericin,Carboxy,797,797,0,0,0,0.7040718313805177,0.2229499586784605,0.23395135175117499,0.6339725372541863
Unstim / Nigericin,Carboxymethyl,725,725,0,0,0,0.6960512559990889,0.2244957356012968,0.10882110545667033,0.6339725372541863
Unstim / Nigericin,Cation:Mg[II],1591,1591,0,0,0,0.7249890512417488,0.3374826402151483,0.40454856357124847,0.6339725372541863
Unstim / Nigericin,Cation:Na (DE),1880,1880,0,0,0,0.7698526266594711,0.3176979851229389,0.3135786135695956,0.6339725372541863
Unstim / Nigericin,Crotonyl,621,621,0,0,0,0.8515469946638787,0.2162619882075228,0.1832532232846081,0.6339725372541863
Unstim / Nigericin,Cysteinyl,167,167,0,0,0,0.9299984810691128,0.1388779610044221,-0.16731432446214475,0.6339725372541863
Unstim / Nigericin,Didehydro,4068,4068,0,0,0,0.7428267296963506,0.35434745386173977,0.37204184841289,0.6339725372541863
Unstim / Nigericin,Dimethyl (KR),1445,1445,0,0,0,0.7882733106538761,0.2742538071185773,0.3757241028875459,0.6339725372541863
Unstim / Nigericin,Dioxidation (MW),1126,1126,0,0,0,0.6036270918288164,0.15932313906795503,0.13662566811421745,0.6339725372541863
Unstim / Nigericin,Formyl,1162,1162,0,0,0,0.7378261744440304,0.2501281492075481,0.17339346196994743,0.6339725372541863
Unstim / Nigericin,GlyGly (K),598,598,0,0,0,0.9943537493047134,0.33559550333079585,0.45074925428423535,0.6339725372541863
Unstim / Nigericin,Hex (K),436,436,0,0,0,0.8559948824881174,0.15521561772929296,0.25016588828297426,0.6339725372541863
Unstim / Nigericin,HexNAc (ST),544,544,0,0,0,0.7746059650458679,0.34617410466253584,0.4585689750203757,0.6339725372541863
Unstim / Nigericin,Hydroxymethyl,1022,1022,0,0,0,0.7739324375547542,0.32140483737542885,0.3675186410253147,0.6339725372541863
Unstim / Nigericin,Methyl (E),2569,2569,0,0,0,0.6975598802678199,0.3055170844524197,0.3402146676864022,0.6339725372541863
Unstim / Nigericin,Methyl (KR),1073,1073,0,0,0,0.7690331676112995,0.3740859233864278,0.43690850034931855,0.6339725372541863
Unstim / Nigericin,Myristoyl,530,530,0,0,0,0.8377568188464757,0.44942147289853696,0.3923891933870859,0.6339725372541863
Unstim / Nigericin,Nitrosyl,967,967,0,0,0,0.6907816457670678,0.251507446371398,0.22441924417437278,0.6339725372541863
Unstim / Nigericin,Oxidation (M),5472,5472,0,0,0,0.6344059543250872,-0.0406914652290545,0.013984925136871341,0.6339725372541863
Unstim / Nigericin,Oxidation (P),2791,2791,0,0,0,0.6189229564741371,0.3010507427109051,0.38535178670574105,0.6339725372541863
Unstim / Nigericin,Oxidation (W),476,476,0,0,0,0.549014248895456,0.34033342683969914,0.47408330509663305,0.6339725372541863
Unstim / Nigericin,Phospho (STY),651,651,0,0,0,0.8858154561632097,0.4456482419649949,0.26879800425680694,0.6339725372541863
Unstim / Nigericin,Phosphoadenosine,229,229,0,0,0,0.6424968527587022,0.1585846374406185,0.3115601803805862,0.6339725372541863
Unstim / Nigericin,Propionamide,851,851,0,0,0,0.8276091265702139,0.3462619047783581,0.40060891997869763,0.6339725372541863
Unstim / Nigericin,Sulfo (STY),1446,1446,0,0,0,0.7429370523019659,0.2599033396616486,0.2826410549030849,0.6339725372541863
Unstim / Nigericin,Trimethyl (K),916,916,0,0,0,0.8805713553663681,0.19897369602884252,0.1483175409492451,0.6339725372541863
Unstim / Nigericin,Trioxidation (C),624,624,0,0,0,0.6562615585331737,0.31072559968396596,0.3981204157942185,0.6339725372541863
Unstim / P3C4,Acetyl (K),456,456,0,0,0,0.4985039965771859,0.02449515067101085,-0.018619035310443104,0.6349674296996664
Unstim / P3C4,Biotin,397,397,0,0,0,0.5016415126968122,0.1531571968279902,0.1717884084444442,0.6382361672812968
Unstim / P3C4,Carbamidomethyl (C),18128,18128,0,0,0,0.3377779464125066,0.17911829916075264,0.16955609670775681,0.634788576241784
Unstim / P3C4,Carbamylation (KR),1450,1450,0,0,0,0.43613381286318825,-0.03902419824661685,-0.09722747965989195,0.6446967892003463
Unstim / P3C4,Carboxy,802,802,0,0,0,0.4166056796587949,-0.049504562701419605,-0.10033949868998689,0.6446967892003463
Unstim / P3C4,Carboxymethyl,729,729,1,0,1,0.4271681304313816,-0.081478306447878,-0.12960384187549195,0.6446967892003463
Unstim / P3C4,Cation:Mg[II],1613,1613,0,0,0,0.424786062676066,0.0147490274496825,0.08310877868732797,0.6446967892003463
Unstim / P3C4,Cation:Na (DE),1908,1908,0,0,0,0.47017403795595925,0.0089738351147816,0.06915685973709872,0.6385958310597034
Unstim / P3C4,Crotonyl,615,615,0,0,0,0.4289840842964573,0.0410934540336317,-0.08964108027612802,0.6446967892003463
Unstim / P3C4,Cysteinyl,170,170,0,0,0,0.5863862808627037,0.0018626884741440005,-0.22841818950637371,0.6371852013366616
Unstim / P3C4,Didehydro,4119,4119,0,0,0,0.4034556104465929,0.022013428544265,0.05941813818620573,0.6446967892003463
Unstim / P3C4,Dimethyl (KR),1477,1477,0,0,0,0.4313031858343468,-0.0064713218645198,0.055341625674920195,0.6421950354434584
Unstim / P3C4,Dioxidation (MW),1131,1131,0,0,0,0.4008021436940245,-0.12656263862032,-0.13460935180208844,0.6420596759385173
Unstim / P3C4,Formyl,1173,1173,0,0,0,0.4292648548533131,-0.0091997805059711,-0.08601069603130426,0.6446967892003463
Unstim / P3C4,GlyGly (K),597,597,0,0,0,0.5092714921641806,0.0299811405779585,-0.06095272616096186,0.6403369283631046
Unstim / P3C4,Hex (K),438,438,0,0,0,0.5230077435715847,-0.07993380780924514,0.1327724680621023,0.6401539411626547
Unstim / P3C4,HexNAc (ST),552,552,0,0,0,0.41623387394031663,0.0257689142279675,0.11328768040738707,0.6446967892003463
Unstim / P3C4,Hydroxymethyl,1020,1020,0,0,0,0.43633590314772763,-0.02114726729622695,-0.008671895472435298,0.638540554171912
Unstim / P3C4,Methyl (E),2582,2582,0,0,0,0.39570620569247095,0.02943651706382565,0.05064510682800741,0.6409875070618877
Unstim / P3C4,Methyl (KR),1103,1103,0,0,0,0.4104298133555584,0.0386137608949001,0.056009254708159914,0.6386390453318987
Unstim / P3C4,Myristoyl,539,539,0,0,0,0.4963053331048896,0.0575947797350494,0.07903473947502934,0.634270603364026
Unstim / P3C4,Nitrosyl,970,970,0,0,0,0.45215435715848834,-0.0162975345348901,-0.026283814495370577,0.6374659623127109
Unstim / P3C4,Oxidation (M),5465,5465,0,0,0,0.3293974786974853,-0.0490160037577094,-0.03677540217358511,0.6509865111393319
Unstim / P3C4,Oxidation (P),2812,2812,0,0,0,0.3609405808263474,0.009065179065673449,0.025143810107089368,0.6463873945591833
Unstim / P3C4,Oxidation (W),473,473,0,0,0,0.3074306284171836,0.0210042859779784,-0.010651816898596614,0.6524395352139939
Unstim / P3C4,Phospho (STY),671,671,0,0,0,0.4589002705457934,-0.0382029313883565,-0.011275262221684597,0.6355059544921605
Unstim / P3C4,Phosphoadenosine,235,235,0,0,0,0.4071365693910533,-0.0589965296196319,-0.01714875850686429,0.6446967892003463
Unstim / P3C4,Propionamide,854,854,0,0,0,0.5172832664973807,0.0199818059236151,0.030920693949750132,0.6446967892003463
Unstim / P3C4,Sulfo (STY),1456,1456,0,0,0,0.43054981671432285,-0.0054674296749888,-0.011275426965805099,0.6446967892003463
Unstim / P3C4,Trimethyl (K),917,917,0,0,0,0.4982625221736778,0.0435104210624523,0.1254840800418423,0.6380057230085241
Unstim / P3C4,Trioxidation (C),620,620,0,0,0,0.4116504408149171,-0.00036882914289620007,0.04143606030470373,0.6382789432897129
Unstim / P3C4+Nigericin,Acetyl (K),461,461,0,0,0,0.8624494845282864,0.5026083688027895,0.4523628564616781,0.6339725372541863
