Comparison (group1/group2),PTM.ModificationTitle,rows_total,rows_candidate,candidate_frac,median_abs_log2,median_p,median_ratios
Unstim / Nigericin,Cation:Mg[II],1226,158,0.12887438825448613,0.9870976190094523,0.28741712660724983,6.0
P3C4 / P3C4+Nigericin,Nitrosyl,765,156,0.20392156862745098,1.0754187682497318,0.2301553817849848,6.0
P3C4+Nigericin / LPS,Cation:Na (DE),1412,156,0.11048158640226628,0.9489205895600317,0.3093824953512244,6.0
LPS / Nigericin,Carbamylation (KR),1122,152,0.1354723707664884,1.0250242166329055,0.30423814905345964,6.0
Unstim / P3C4+Nigericin,Cation:Mg[II],1295,149,0.11505791505791506,1.0855712542954663,0.2747245065133306,6.0
Unstim / LPS+Nigericin,Oxidation (M),3728,149,0.039967811158798286,0.6676930132675969,0.34187821256731743,6.0
P3C4+Nigericin / LPS,Dimethyl (KR),1160,147,0.1267241379310345,0.9640010312218491,0.2725024443616839,6.0
LPS / LPS+Nigericin,Didehydro,2899,147,0.05070714039323905,0.7598060146413148,0.3464826024056671,6.0
P3C4 / Nigericin,Formyl,886,143,0.1613995485327314,0.9917919857342488,0.2972306072011112,6.0
P3C4+Nigericin / LPS,Cation:Mg[II],1216,143,0.11759868421052631,0.9310361507237922,0.2764299347633701,6.0
LPS / Nigericin,Methyl (KR),846,142,0.16784869976359337,0.8963041089461024,0.2201098201540291,6.0
Unstim / Nigericin,Carbamylation (KR),1093,141,0.12900274473924978,1.02564530117086,0.286335889779466,6.0
Unstim / Nigericin,Dimethyl (KR),1100,141,0.12818181818181817,1.0300564743902483,0.3099809532381484,6.0
Unstim / P3C4+Nigericin,Dimethyl (KR),1190,141,0.11848739495798319,1.1099714641991278,0.2710509707722424,6.0
LPS / Nigericin,Hydroxymethyl,779,139,0.17843388960205392,0.9032040084726848,0.2424967680062926,6.0
P3C4 / Nigericin,Nitrosyl,765,136,0.17777777777777778,1.006172955523143,0.2543882032886593,6.0
LPS / Nigericin,Dioxidation (MW),853,136,0.15943728018757328,0.8579553587694563,0.2449502733763909,6.0
P3C4 / Nigericin,Phospho (STY),515,131,0.2543689320388349,1.1444591727687723,0.2223030812331777,6.0
P3C4+Nigericin / LPS,Methyl (KR),834,130,0.15587529976019185,0.9118377838772872,0.2445319195029208,6.0
LPS / Nigericin,Formyl,921,130,0.14115092290988057,0.9433569022069866,0.2867084084960651,6.0
Unstim / P3C4+Nigericin,Methyl (KR),861,129,0.14982578397212543,1.1341994038539438,0.2430390198657634,6.0
Unstim / P3C4+Nigericin,Carbamylation (KR),1159,127,0.1095772217428818,1.1031469687703386,0.2792158257269183,6.0
P3C4+Nigericin / LPS,Formyl,926,126,0.13606911447084233,0.9513842984964507,0.30561428226734866,6.0
P3C4+Nigericin / LPS,Sulfo (STY),1116,126,0.11290322580645161,0.8841412133206847,0.3032130444981057,6.0
Unstim / P3C4+Nigericin,Sulfo (STY),1159,126,0.10871440897325281,1.0659744131982014,0.2844375021679501,6.0
P3C4+Nigericin / Nigericin,Didehydro,2772,124,0.044733044733044736,0.7026598765190711,0.34520058737343806,6.0
P3C4+Nigericin / Nigericin,Oxidation (M),3344,124,0.03708133971291866,0.5661140433771843,0.3447229264157351,6.0
Unstim / Nigericin,Sulfo (STY),1092,122,0.11172161172161173,1.0069066980312829,0.2845047240592512,6.0
P3C4 / LPS+Nigericin,Oxidation (P),1962,121,0.06167176350662589,0.7648557594932445,0.294975208325405,6.0
LPS / Nigericin,Nitrosyl,775,120,0.15483870967741936,0.928283762263628,0.2476645634795089,6.0
P3C4+Nigericin / LPS,Carbamylation (KR),1113,119,0.1069182389937107,0.9706105566089782,0.3172126308275474,6.0
P3C4 / LPS+Nigericin,Methyl (E),1857,116,0.06246634356488961,0.814802010195165,0.2936094994091776,6.0
P3C4 / P3C4+Nigericin,Oxidation (W),366,114,0.3114754098360656,0.9677206299612156,0.12198063410455956,6.0
Unstim / P3C4,Didehydro,2482,114,0.04593070104754231,0.7274653808807691,0.3995969482068208,6.0
P3C4 / P3C4+Nigericin,Trioxidation (C),497,113,0.22736418511066397,1.0420502820780653,0.1987413440400645,6.0
Unstim / Nigericin,Methyl (KR),833,111,0.1332533013205282,1.0434332614396429,0.2644018143965226,6.0
Unstim / Nigericin,Dioxidation (MW),836,111,0.13277511961722488,0.8197106503606477,0.27488696153930137,6.0
Unstim / LPS+Nigericin,Oxidation (P),1952,111,0.056864754098360656,0.7794668296279649,0.33837337861866285,6.0
LPS / LPS+Nigericin,Oxidation (M),3581,111,0.030996928232337337,0.6359282654137135,0.3595866156668623,6.0
Unstim / Nigericin,Hydroxymethyl,785,110,0.14012738853503184,1.0192027432784605,0.2755105772408542,6.0
Unstim / P3C4+Nigericin,Nitrosyl,806,109,0.13523573200992556,0.9657558091514347,0.2505356458546344,6.0
P3C4 / LPS,Oxidation (M),2732,109,0.039897510980966326,0.5370869418900945,0.3616705769651384,6.0
P3C4 / P3C4+Nigericin,Phospho (STY),531,108,0.2033898305084746,1.2159337071187817,0.2183259508819718,6.0
Unstim / Nigericin,Nitrosyl,716,108,0.15083798882681565,0.9649693768794174,0.2951712891374214,6.0
Unstim / P3C4+Nigericin,Formyl,955,108,0.1130890052356021,1.0359902733864264,0.2991575409908449,6.0
P3C4 / P3C4+Nigericin,Carboxymethyl,536,105,0.1958955223880597,1.1397956306227917,0.2138408788462283,6.0
P3C4 / Nigericin,Carboxymethyl,543,105,0.19337016574585636,1.0095294656327565,0.252171576480531,6.0
P3C4 / Nigericin,Propionamide,665,104,0.15639097744360902,1.0696546518787091,0.2901453652277993,6.0
Unstim / Nigericin,Formyl,902,102,0.1130820399113082,0.9803742539858179,0.30616761145471494,6.0
Unstim / P3C4+Nigericin,Hydroxymethyl,820,101,0.12317073170731707,1.0533503574608185,0.26499288856018766,6.0
Unstim / LPS+Nigericin,Methyl (E),1836,101,0.05501089324618736,0.8317267259082581,0.3286638629674506,6.0
LPS / Nigericin,Carboxymethyl,556,100,0.17985611510791366,0.9252414251500651,0.2495125527688909,6.0
LPS / LPS+Nigericin,Methyl (E),1831,99,0.05406881485527035,0.7652376937425459,0.3359843843507619,6.0
P3C4 / LPS,Didehydro,2380,98,0.041176470588235294,0.6899913503795749,0.3687183950136804,6.0
LPS / Nigericin,Phospho (STY),518,97,0.18725868725868725,1.0656071298501382,0.24416308903211797,6.0
P3C4+Nigericin / LPS,Dioxidation (MW),818,97,0.11858190709046455,0.8452330946085231,0.2659352696980795,6.0
Unstim / P3C4+Nigericin,Dioxidation (MW),854,95,0.11124121779859485,0.9046611113828391,0.2730493082189464,6.0
P3C4 / Nigericin,Trioxidation (C),470,94,0.2,1.0021082368447192,0.23545221032834454,6.0
Unstim / P3C4,Oxidation (P),1605,94,0.058566978193146414,0.6121653039037606,0.3686529154327949,6.0
P3C4 / Nigericin,Oxidation (W),358,93,0.25977653631284914,0.8295859835247212,0.17897452744447476,6.0
Unstim / LPS,Didehydro,2599,93,0.0357829934590227,0.750650020948577,0.3651415137758437,6.0
P3C4 / P3C4+Nigericin,Propionamide,655,92,0.14045801526717558,1.2082780257238417,0.2807725240558827,6.0
LPS / Nigericin,Trimethyl (K),746,92,0.12332439678284182,1.0802580709654237,0.34456356653452686,6.0
P3C4+Nigericin / LPS,Nitrosyl,747,92,0.12315930388219545,0.9029929673268934,0.2722970955087932,6.0
LPS / Nigericin,Carboxy,609,90,0.1477832512315271,0.9048778793254214,0.2811578732764946,6.0
LPS / LPS+Nigericin,Oxidation (P),1934,90,0.04653567735263702,0.7328132907035789,0.3307062317944101,6.0
P3C4 / P3C4+Nigericin,Trimethyl (K),720,89,0.12361111111111112,1.2887537518892591,0.3654973114342607,6.0
Unstim / Nigericin,Trimethyl (K),742,88,0.11859838274932614,1.182544193975581,0.32844440601915026,6.0
P3C4 / P3C4+Nigericin,Carboxy,616,87,0.14123376623376624,1.1124953492887695,0.32845737024475974,6.0
LPS / Nigericin,Propionamide,679,86,0.12665684830633284,0.9784915213094988,0.3461761006800856,6.0
LPS / Nigericin,Crotonyl,504,84,0.16666666666666666,1.05778288745066,0.30771954681708064,6.0
Unstim / LPS+Nigericin,Cation:Na (DE),1356,84,0.061946902654867256,0.8816103052082125,0.36407085012200013,6.0
Unstim / Nigericin,Phospho (STY),542,83,0.15313653136531366,1.0497838487755504,0.27350349242284533,6.0
P3C4 / LPS+Nigericin,Cation:Na (DE),1361,81,0.05951506245407789,0.851814331393008,0.3289580254841892,6.0
P3C4 / LPS,Oxidation (P),1493,81,0.05425318151373074,0.6090093083671441,0.3336485260992808,6.0
Unstim / P3C4,Methyl (E),1546,80,0.0517464424320828,0.6774787402998755,0.349668530177741,6.0
